id,amount_tsh,gps_height,longitude,latitude,num_private,population,status_group
17667,250.0,1409,29.93623546,-4.42247009,0,370,functional needs repair
73543,0.0,436,34.60709816,-10.55015427,0,160,functional needs repair
29657,0.0,0,0.0,-2e-08,0,0,functional needs repair
12515,0.0,991,30.39482317,-5.10616184,0,550,functional needs repair
18756,0.0,0,33.00295343,-9.06447874,0,0,others
57211,0.0,2022,36.2217849,-2.92763627,0,150,functional needs repair
60075,0.0,1699,35.58392228,-3.80713525,0,310,others
65870,0.0,0,33.17267695,-4.64753059,0,0,others
37359,10.0,1554,35.83469132,-3.27323916,0,200,others
36470,0.0,1039,38.00070587,-4.40056984,0,230,others
74058,0.0,0,0.0,-2e-08,0,0,functional needs repair
51301,0.0,0,36.39926007,-6.75624575,0,0,others
26999,500.0,1683,34.90452678,-8.96920112,0,120,others
43864,50.0,1535,36.55769837,-5.30717256,0,200,functional needs repair
6836,0.0,1611,29.80250714,-4.45777956,0,360,functional needs repair
65087,0.0,1143,36.32094379,-2.8239004,7,1,others
15048,0.0,1191,37.30151368,-3.25258208,0,1,others
30004,0.0,0,33.07089281,-9.0249513,0,0,others
34064,0.0,0,0.0,-2e-08,0,0,others
35811,0.0,0,0.0,-2e-08,0,0,functional needs repair
18959,0.0,53,39.41022852,-8.77132872,0,45,others
66440,0.0,0,31.55921557,-1.42395046,0,0,others
14397,0.0,158,37.70774464,-7.4231446,0,420,others
63924,100.0,861,29.78375309,-4.98756544,0,400,functional needs repair
65887,200.0,218,36.67616372,-8.12946992,0,500,functional needs repair
5653,0.0,0,32.71514488,-3.85034048,0,0,functional needs repair
40725,0.0,0,0.0,-2e-08,0,0,functional needs repair
27886,600.0,994,29.73493982,-4.81168075,0,433,functional needs repair
32285,5.0,1551,35.62340153,-3.35750373,0,250,others
71206,0.0,1151,36.3368921,-2.86546003,0,1500,others
19922,20.0,309,38.3978813,-6.11944783,0,20,others
54757,0.0,0,36.11097809,-5.04953564,0,0,others
72971,0.0,0,33.87325942,-4.27801676,0,0,others
17966,500.0,453,37.08045206,-6.8764394,0,250,others
19937,0.0,0,33.52833617,-3.60080016,0,0,others
66791,0.0,1422,36.29458738,-3.4010952000000003,0,1,functional needs repair
64542,0.0,1838,36.70887304,-3.32670423,0,150,others
42095,2000.0,1627,34.77692293,-8.94903736,0,65,others
70618,0.0,0,32.86246042,-8.92183595,0,0,functional needs repair
24082,0.0,0,0.0,-2e-08,0,0,functional needs repair
51283,0.0,225,38.78639264,-5.108054,0,150,others
71125,1000.0,921,35.31439884,-10.75701296,0,0,functional needs repair
17541,1000.0,1323,37.91841942,-4.15448819,0,30,functional needs repair
67447,0.0,1360,34.93916893,-10.12676456,0,150,others
39888,0.0,1537,37.28550021,-3.20328901,0,50,functional needs repair
40464,0.0,0,0.0,-2e-08,0,0,others
57036,0.0,1391,30.28758768,-4.4514775,0,2700,functional needs repair
10988,0.0,0,34.22099625,-3.6876412,0,0,others
1684,0.0,0,34.41552943,-8.61921487,0,0,others
9512,0.0,171,38.80154248,-5.0847524,0,150,others
14698,0.0,1156,33.62950024,-1.79193979,0,450,others
47862,0.0,0,34.39454128,-3.91411573,0,0,others
19335,5.0,1536,35.64119355,-3.34641306,0,300,others
55371,0.0,1317,36.84275965,-6.1905432000000005,0,230,functional needs repair
14126,0.0,363,38.33485099,-5.05808262,0,300,others
50048,0.0,0,33.62802938,-9.36235068,0,0,functional needs repair
7916,1000.0,1025,35.27813186,-10.44091505,0,350,functional needs repair
10600,500.0,928,29.67306868,-4.78483903,0,166,functional needs repair
6943,500.0,1525,34.78564306,-4.83752649,0,45,others
10737,5000.0,1975,34.32676257,-9.50641074,0,0,others
70987,250.0,1512,29.80892692,-4.53446663,0,650,others
7179,0.0,1784,34.69691842,-9.14886937,0,50,others
38980,2400.0,1622,34.93188508,-8.6941411,0,0,others
713,0.0,1677,35.15509555,-8.25448781,0,0,others
35631,0.0,0,33.82807175,-9.16147065,0,0,others
36726,0.0,321,35.81212723,-8.77042496,0,200,others
29871,0.0,1749,31.76362251,-8.44213429,0,250,others
19829,10.0,-8,40.19704668,-10.29138703,0,640,functional needs repair
70844,0.0,0,32.21697388,-3.37335176,0,0,others
44755,50.0,849,35.06879779,-5.8622973,0,812,others
41042,600.0,984,29.72844316,-4.8253934,0,530,functional needs repair
36596,0.0,66,39.52472106,-10.03496212,0,200,others
