id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
17667,250.0,2013-02-07,Norad,1409,NORAD,29.93623546,-4.42247009,Kwa Ntilio,0,Lake Tanganyika,Rusange,Kigoma,16,2,Kasulu,Janda,370,True,GeoData Consultants Ltd,Water authority,Nyafisi,True,1991,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair
73543,0.0,2013-10-03,Danida,436,DANIDA,34.60709816,-10.55015427,Shuleni,0,Lake Nyasa,Mbozi,Ruvuma,10,3,Mbinga,Lituhi,160,False,GeoData Consultants Ltd,VWC,DANIDA,True,1994,gravity,gravity,gravity,parastatal,parastatal,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
29657,0.0,2013-01-18,Dwsp,0,DWE,0.0,-2e-08,Mbugani,0,Lake Victoria,Mpilingito,Shinyanga,17,1,Bariadi,Dutwa,0,True,GeoData Consultants Ltd,WUG,,False,0,walimi,other handpump,handpump,wug,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
12515,0.0,2013-02-03,Government Of Tanzania,991,DWE,30.39482317,-5.10616184,Kwa Mzee Malundi,0,Lake Tanganyika,Lugongoni,Kigoma,16,3,Kigoma Rural,Uvinza,550,False,GeoData Consultants Ltd,VWC,Nyanza water project,True,1997,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair
18756,0.0,2011-04-16,Kkkt,0,KKKT,33.00295343,-9.06447874,Bahati Msanganzila,0,Lake Rukwa,Igawanya,Mbeya,12,6,Mbozi,Mlowo,0,True,GeoData Consultants Ltd,VWC,,False,0,other,other,other,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,others
57211,0.0,2013-03-16,Ministry Of Water,2022,DWE,36.2217849,-2.92763627,Kwa Njarqni,0,Internal,Losinoni,Arusha,2,6,Longido,Ketumbeine,150,True,GeoData Consultants Ltd,VWC,Elang'atadapash water proj,,1978,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair
60075,0.0,2013-01-28,Padep,1699,PADEP,35.58392228,-3.80713525,Kwa Tarimo Balie,0,Internal,Gehandu,Manyara,21,3,Mbulu,Gehandu,310,True,GeoData Consultants Ltd,VWC,,True,2010,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,others
65870,0.0,2013-02-01,Government Of Tanzania,0,DWE,33.17267695,-4.64753059,Kipugala,0,Lake Tanganyika,Kipugala,Tabora,14,1,Nzega,Puge,0,False,GeoData Consultants Ltd,VWC,,False,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,others
37359,10.0,2013-03-19,Germany,1554,Dmdd,35.83469132,-3.27323916,Kwa Felix,0,Internal,Alsini,Arusha,24,30,Karatu,Mbulumbulu,200,True,GeoData Consultants Ltd,VWC,Vyama vya watumia maji,True,2009,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,others
36470,0.0,2013-02-13,Shule,1039,Shule,38.00070587,-4.40056984,Shuleni,0,Pangani,Kitubwa,Kilimanjaro,3,3,Same,Mnyamba,230,True,GeoData Consultants Ltd,VWC,Tangawizi Water Supply,True,2008,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,others
74058,0.0,2013-01-25,Dwsp,0,DWE,0.0,-2e-08,Kilumba,0,Lake Victoria,Mwakimishi,Shinyanga,17,1,Bariadi,Nkoma,0,True,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
51301,0.0,2011-03-18,World Bank,0,Gover,36.39926007,-6.75624575,Muyinga,0,Wami / Ruvu,Ipera,Dodoma,1,1,Mpwapwa,Kibakwe,0,True,GeoData Consultants Ltd,VWC,Cham,True,0,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,others
26999,500.0,2011-02-28,Tz Japan,1683,DWE,34.90452678,-8.96920112,Kwa Jactant Mwebela,0,Rufiji,Nyafifi,Iringa,11,4,Njombe,Igongolo,120,True,GeoData Consultants Ltd,VWC,Igongolo gravity water sche,False,2006,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,others
43864,50.0,2013-02-12,Government Of Tanzania,1535,Government,36.55769837,-5.30717256,Kwa Sugal,0,Internal,Ngarenaro,Manyara,21,4,Kiteto,Kibaya,200,False,GeoData Consultants Ltd,Water Board,KIUWASSA,False,1997,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,salty,salty,insufficient,insufficient,spring,spring,groundwater,other,other,functional needs repair
6836,0.0,2013-02-03,Oxfarm,1611,OXFARM,29.80250714,-4.45777956,Muka,0,Lake Tanganyika,Luhororo,Kigoma,16,2,Kasulu,Muhinda,360,True,GeoData Consultants Ltd,Water authority,,False,1996,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,other,other,functional needs repair
65087,0.0,2013-03-19,,1143,,36.32094379,-2.8239004,Madukani,7,Internal,Madukani,Arusha,2,6,Longido,Ketumbeine,1,,GeoData Consultants Ltd,,,,0,other,other,other,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,other,unknown,hand pump,hand pump,others
15048,0.0,2013-03-04,Government Of Tanzania,1191,RWE,37.30151368,-3.25258208,Kwa Mwacha,0,Pangani,Kola,Kilimanjaro,3,4,Moshi Rural,Kibosho Kati,1,False,GeoData Consultants Ltd,VWC,Otaruni water supply,True,1976,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,other,other,others
30004,0.0,2011-04-14,Kkkt,0,KKKT,33.07089281,-9.0249513,Ichesa Shuleni,0,Lake Rukwa,Nansiana,Mbeya,12,6,Mbozi,Myovizi,0,True,GeoData Consultants Ltd,VWC,,False,0,nira/tanira,nira/tanira,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump,others
34064,0.0,2011-08-18,Hesawa,0,DWE,0.0,-2e-08,Shuleni,0,Lake Tanganyika,Elimu,Mwanza,19,6,Geita,Lwamgasa,0,True,GeoData Consultants Ltd,VWC,,True,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,others
35811,0.0,2012-10-21,Dwssp,0,DWE,0.0,-2e-08,Gurumbaka,0,Lake Victoria,Gurumbaka,Shinyanga,17,1,Bariadi,Mwadobana,0,False,GeoData Consultants Ltd,Parastatal,,False,0,swn 80,swn 80,handpump,parastatal,parastatal,never pay,never pay,salty abandoned,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
18959,0.0,2013-01-17,Tasaf,53,DWE,39.41022852,-8.77132872,Tasaf,0,Ruvuma / Southern Coast,Kitumba,Lindi,80,13,Kilwa,Kivinje Singino,45,,GeoData Consultants Ltd,VWC,,True,2012,submersible,submersible,submersible,vwc,user-group,unknown,unknown,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,others
66440,0.0,2011-07-14,Hesawa,0,DWE,31.55921557,-1.42395046,Kwa Josephat Tadeo,0,Lake Victoria,Ikongoro,Kagera,18,2,Bukoba Rural,Kaibanja,0,True,GeoData Consultants Ltd,VWC,,True,0,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,others
14397,0.0,2011-03-16,Dhv,158,Counc,37.70774464,-7.4231446,Kwa Dia,0,Wami / Ruvu,Mgamba,Morogoro,5,2,Morogoro Rural,Bwakila Chini,420,True,GeoData Consultants Ltd,VWC,,True,1996,swn 80,swn 80,handpump,vwc,user-group,pay when scheme fails,on failure,unknown,unknown,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,others
63924,100.0,2013-02-01,Norad,861,DWE,29.78375309,-4.98756544,Shule Ya Msingi Kaseke,0,Lake Tanganyika,Mwamko,Kigoma,16,3,Kigoma Urban,Kitongoni,400,True,GeoData Consultants Ltd,VWC,Kaseke water project,True,1987,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair
